,Ticker
0,LREN3
1,B3SA3
2,HAPV3
3,PETR4
4,ENEV3
5,EMBR3
6,ITUB4
7,AZUL4
8,BBDC4
9,ABEV3
10,ITSA4
11,ASAI3
12,COGN3
13,PETZ3
14,PETR3
15,VALE3
16,BBAS3
17,CPLE6
18,RDOR3
19,CSAN3
20,STBP3
21,MGLU3
22,CMIG4
23,GGBR4
24,IFCM3
25,POMO4
26,CXSE3
27,ELET3
28,RENT3
29,RAIL3
30,WEGE3
31,CMIN3
32,VBBR3
33,CVCB3
34,CCRO3
35,UGPA3
36,TIMS3
37,NTCO3
38,RAIZ4
39,QUAL3
40,EQTL3
41,RADL3
42,JBSS3
43,USIM5
44,FLRY3
45,CSNA3
46,SUZB3
47,CRFB3
48,AMER3
49,RRRP3
50,CPLE3
51,AURE3
52,BBDC3
53,HBSA3
54,DXCO3
55,BEEF3
56,SBSP3
57,PRIO3
58,BBSE3
59,BRFS3
60,ONCO3
61,ALOS3
62,MRVE3
63,PCAR3
64,YDUQ3
65,GOLL4
66,GGPS3
67,VAMO3
68,MLAS3
69,TOTS3
70,AZEV4
71,VVEO3
72,BHIA3
73,HYPE3
74,ECOR3
75,CYRE3
76,GOAU4
77,BRKM5
78,VIVT3
79,VIVA3
80,MULT3
81,LWSA3
82,ALPA4
83,OPCT3
84,AZZA3
85,ANIM3
86,BRAP4
87,MRFG3
88,CPFE3
89,JHSF3
90,SIMH3
91,RANI3
92,MOVI3
93,CLSA3
94,SRNA3
95,CURY3
96,POSI3
97,RAPT4
98,ELET6
99,AESB3
100,EGIE3
101,RECV3
102,MATD3
103,DIRR3
104,GFSA3
105,LJQQ3
106,SMFT3
107,BPAN4
108,SAPR4
109,CBAV3
110,TEND3
111,GMAT3
112,SEQL3
113,CEAB3
114,MBLY3
115,SLCE3
116,TRPL4
117,JSLG3
118,EZTC3
119,SOJA3
120,CASH3
121,ENJU3
122,RCSL3
123,PLPL3
124,BRSR6
125,KLBN4
126,IRBR3
127,SMTO3
128,CSMG3
129,AERI3
130,SBFG3
131,LIGT3
132,DASA3
133,PORT3
134,NEOE3
135,KEPL3
136,ZAMP3
137,MILS3
138,MYPK3
139,MELK3
140,OIBR3
141,GRND3
142,PSSA3
143,GUAR3
144,WIZC3
145,TTEN3
146,PGMN3
147,FESA4
148,JFEN3
149,MDIA3
150,ITUB3
151,ODPV3
152,BRAP3
153,JALL3
154,LAVV3
155,ARML3
156,AZEV3
157,CMIG3
158,ABCB4
159,MTRE3
160,EVEN3
161,LOGG3
162,AMAR3
163,VLID3
164,AMBP3
165,BLAU3
166,VULC3
167,CAML3
168,ROMI3
169,LEVE3
170,INTB3
171,TUPY3
172,USIM3
173,BMGB4
174,MDNE3
175,FRAS3
176,AGXY3
177,HBRE3
178,ORVR3
179,HBOR3
180,PNVL3
181,MEAL3
182,CSED3
183,TASA4
184,FIQE3
185,PDGR3
186,TRAD3
187,UNIP6
188,SYNE3
189,KLBN3
190,POMO3
191,BMOB3
192,TRIS3
193,AGRO3
194,TGMA3
195,SHUL4
196,LPSB3
197,SHOW3
198,PTBL3
199,BRIT3
200,NGRD3
201,SEER3
202,ESPA3
203,VITT3
204,ETER3
205,RCSL4
206,PMAM3
207,PRNR3
208,TECN3
209,PFRM3
210,PINE4
211,TAEE4
212,SAPR3
213,WEST3
214,TPIS3
215,ITSA3
216,LAND3
217,LUPA3
218,DESK3
219,DOTZ3
220,SANB3
221,VTRU3
222,ALPK3
223,TAEE3
224,ELMD3
225,CTSA4
226,SANB4
227,PDTC3
228,DMVF3
229,BIOM3
230,CAMB3
231,INEP3
232,KRSA3
233,RPMG3
234,UCAS3
235,TCSA3
236,TFCO4
237,EUCA4
238,VIVR3
239,FRIO3
240,AALR3
241,SCAR3
242,GGBR3
243,RNEW4
244,ALLD3
245,DEXP3
246,CSUD3
247,RNEW3
248,OFSA3
249,EALT4
250,GOAU3
251,LOGN3
252,AVLL3
253,INEP4
254,COCE5
255,RAPT3
256,ALUP4
257,BMEB4
258,RSID3
259,EQPA3
260,TASA3
261,BEES3
262,LVTC3
263,ALUP3
264,DEXP4
265,SNSY5
266,BRKM3
267,UNIP3
268,OIBR4
